movie,character,director,durationHours,durationMinutes,durationSeconds,releaseMonth,releaseDay,releaseYear,total_wows_in_movie,era,durationInSeconds
Bottle Rocket,Dignan,Wes Anderson,1,31,44,2,21,1996,3,Early,5504
The Haunting,Luke Sanderson,Jan de Bont,1,52,37,7,23,1999,5,Early,6757
Breakfast of Champions,Monte Rapid,Alan Rudolph7,1,49,49,9,17,1999,1,Early,6589
Shanghai Noon,Roy O'Bannon,Tom Dey,1,50,18,5,23,2000,1,Early,6618
Meet the Parents,Kevin Rawley,Jay roachЩ,1,47,39,10,6,2000,2,Early,6459
Zoolander,Hansel McDonald,Ben Stiller,1,29,12,9,28,2001,1,Early,5352
I SPY,ALEXANDER SCOTT,BETTY THOMAS,1,36,35,10,23,2002,3,Early,5795
Shanghai Knights,Roy O'Bannon,David Dobkin,1,54,21,2,3,2003,4,Mid,6861
The Big Bounce,Jack Ryan,George Armitage,1,28,10,1,30,2004,2,Mid,5290
Starsky & Hutch,Ken Hutchinson,"Phillips, Todd",1,40,48,3,5,2004,1,Mid,6048
wedding crashers,John Beckwith,David Dobkin,2,7,1,7,15,2005,6,Mid,7621
Cars,Lightning McQueen,John Lasseter,1,56,36,6,9,2006,5,Mid,6996
"You, Me and Dupree",Dupree,Joe Russo and Anthony Russo,1,49,24,7,14,2006,1,Mid,6564
The Darjeeling Limited,Francis,Wes Anderson,1,31,46,10,26,2007,1,Mid,5506
Drillbit Taylor,Drillbit Taylor,Steven Brill,1,50,10,3,21,2008,2,Mid,6610
Marley & Me,John Grogan,David Frankel,1,55,32,12,25,2008,3,Mid,6932
Marmaduke,marmaduke,Tom Dey,1,28,10,6,4,2010,4,Mid,5290
Little Fockers,Kevin Rawley,Paul Weitz,1,37,40,12,22,2010,2,Mid,5860
Hall Pass,Rick Mills,Peter Farrelly and Bobby Farrelly,1,51,35,2,25,2011,6,Recent,6695
Midnight in Paris,Gil Pender,Woody Allen,1,33,57,5,20,2011,10,Recent,5637
Cars 2,Lightning McQueen,John lasseter,1,47,1,6,18,2011,1,Recent,6421
The Big Year,Kenny Bostick,David Frankel,1,43,9,10,14,2011,3,Recent,6189
The Internship,Nick Campbell,"Levy, Shawn",2,5,2,5,29,2013,5,Recent,7502
FREE BIRDS,Reggie,Jimmy ?� Hayward,1,31,3,11,1,2013,3,Recent,5463
Are You Here,Steve Dallas,Matthew Weiner,1,54,5,8,22,2014,2,Recent,6845
Night at the Museum: Secret of the Tomb,Jedediah Smith,Shawn Levy,1,37,48,12,11,2014,1,Recent,5868
No Escape,Jack Dwyer,John Erick Dowdle,1,43,6,8,26,2015,2,Recent,6186
Cars 3,Lighting McQueen,Brian Fee,1,42,25,5,23,2017,10,Recent,6145
Father Figures,Kyle Reynolds,Lawrence Sher,1,52,50,12,13,2017,1,Recent,6770
